gene,biological_process,molecular_function,systematic_name,a_number,nutrient,growth_rate,expression
,biological process unknown,molecular function unknown,YNL200C,1081646,G,0.1,0.67
,biological process unknown,molecular function unknown,YKL151C,1085993,G,0.1,1.23
AVO2,regulation of cell growth,molecular function unknown,YMR068W,1084972,G,0.1,0.39
HEX3,sporulation (sensu Fungi)*,DNA binding,YDL013W,1084426,G,0.1,0.53
VPS17,"retrograde transport, endosome to Golgi",molecular function unknown,YOR132W,1084155,G,0.1,0.09
HBT1,cellular morphogenesis during conjugation with cellular fusion,molecular function unknown,YDL223C,1084326,G,0.1,1.08
GND2,glucose metabolism,phosphogluconate dehydrogenase (decarboxylating) activity,YGR256W,1080627,G,0.1,1.27
PAI3,vacuolar protein catabolism,endopeptidase inhibitor activity,YMR174C,1086588,G,0.1,1.31
MYO3,cell wall organization and biogenesis*,microfilament motor activity,YKL129C,1082928,G,0.1,0.28
OLE1,mitochondrion inheritance*,stearoyl-CoA 9-desaturase activity,YGL055W,1084114,G,0.1,0.24
,biological process unknown,molecular function unknown,YNL195C,1083393,G,0.1,0.68
,biological process unknown,molecular function unknown,YMR295C,1082783,G,0.1,0.71
BRO1,ubiquitin-dependent protein catabolism*,intracellular transporter activity,YPL084W,1086899,G,0.1,0.29
EDC2,deadenylylation-dependent decapping,RNA binding,YER035W,1081578,G,0.1,1.05
RAD16,"nucleotide-excision repair, DNA damage recognition",DNA-dependent ATPase activity,YBR114W,1081176,G,0.1,0.24
FRT2,response to stress,molecular function unknown,YAL028W,1084858,G,0.1,0.21
YRB2,mRNA-nucleus export*,structural molecule activity,YIL063C,1081079,G,0.1,0.45
ASI3,ubiquitin-dependent protein catabolism,ubiquitin-protein ligase activity,YNL008C,1086020,G,0.1,0.36
INP54,exocytosis*,inositol-polyphosphate 5-phosphatase activity,YOL065C,1085071,G,0.1,0.51
,biological process unknown,molecular function unknown,YER079W,1081016,G,0.1,0.77
IWS1,RNA elongation from RNA polymerase II promoter,RNA polymerase II transcription elongation factor activity,YPR133C,1086069,G,0.1,0.31
SIF2,chromatin silencing at telomere*,NAD-dependent histone deacetylase activity*,YBR103W,1086384,G,0.1,0.27
DCS1,deadenylylation-dependent decapping,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",YLR270W,1083798,G,0.1,0.39
PPQ1,protein amino acid dephosphorylation*,protein serine/threonine phosphatase activity,YPL179W,1082881,G,0.1,0.11
,biological process unknown,molecular function unknown,YJL185C,1083541,G,0.1,1.36
,biological process unknown,molecular function unknown,YOR338W,1084854,G,0.1,1.48
ARA1,carbohydrate metabolism,aldo-keto reductase activity*,YBR149W,1082998,G,0.1,1.02
CIN5,regulation of transcription from RNA polymerase II promoter*,DNA binding*,YOR028C,1084912,G,0.1,1.42
HSP12,response to oxidative stress*,molecular function unknown,YFL014W,1083992,G,0.1,3.31
BYE1,negative regulation of transcription from RNA polymerase II promoter,transcriptional elongation regulator activity,YKL005C,1086580,G,0.1,0.47
AAC1,aerobic respiration*,ATP:ADP antiporter activity,YMR056C,1085210,G,0.1,1.54
COX9,aerobic respiration*,cytochrome-c oxidase activity,YDL067C,1080667,G,0.1,1.08
TLG2,vesicle fusion,v-SNARE activity*,YOL018C,1082419,G,0.1,0.22
CAD1,positive regulation of transcription from RNA polymerase II promoter*,RNA polymerase II transcription factor activity,YDR423C,1082626,G,0.1,0.1
,inositol phosphate dephosphorylation,inositol-1(or 4)-monophosphatase activity,YDR287W,1084083,G,0.1,0.64
CTT1,response to stress,catalase activity,YGR088W,1080876,G,0.1,1.28
GRE1,response to stress*,molecular function unknown,YPL223C,1086679,G,0.1,1.27
TEL1,response to DNA damage stimulus*,protein kinase activity,YBL088C,1085925,G,0.1,0.45
,metabolism,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",YGL185C,1085693,G,0.1,0.72
SPO21,meiosis*,structural molecule activity,YOL091W,1081261,G,0.1,0.65
NDT80,meiosis*,transcription factor activity,YHR124W,1082393,G,0.1,1.11
,biological process unknown,molecular function unknown,YOR019W,1083496,G,0.1,0.58
YMR1,vesicle-mediated transport*,phosphoric monoester hydrolase activity*,YJR110W,1081266,G,0.1,0.76
SBE22,cell wall organization and biogenesis,molecular function unknown,YHR103W,1083955,G,0.1,-0.04
GIS4,intracellular signaling cascade,molecular function unknown,YML006C,1083138,G,0.1,-0.06
RPT5,ubiquitin-dependent protein catabolism,ATPase activity*,YOR117W,1086333,G,0.1,0.6
SHC1,sporulation (sensu Fungi)*,enzyme activator activity,YER096W,1082647,G,0.1,1.65
,biological process unknown,molecular function unknown,YDR262W,1085776,G,0.1,0.99
GPM2,biological process unknown,molecular function unknown*,YDL021W,1083790,G,0.1,0.49
CDA1,spore wall assembly (sensu Fungi),chitin deacetylase activity,YLR307W,1084451,G,0.1,2.21
HYR1,response to oxidative stress,thiol peroxidase activity*,YIR037W,1081583,G,0.1,0.26
BOP3,response to mercury ion,molecular function unknown,YNL042W,1081660,G,0.1,-0.07
,response to stress,heme binding,YNL234W,1082202,G,0.1,-0.06
,biological process unknown,molecular function unknown,YIL151C,1083219,G,0.1,0.06
PDE1,cAMP-mediated signaling,cAMP-specific phosphodiesterase activity,YGL248W,1081768,G,0.1,0.43
DDR48,DNA repair,ATPase activity*,YMR173W,1082191,G,0.1,0.88
,,,YMR173W-A,1084801,G,0.1,0.69
,biological process unknown,molecular function unknown,YOR062C,1085567,G,0.1,0.83
SIA1,proton transport,molecular function unknown,YOR137C,1085709,G,0.1,0.52
AHP1,regulation of cell redox homeostasis*,thioredoxin peroxidase activity,YLR109W,1084397,G,0.1,0.39
GSP2,nuclear organization and biogenesis,GTPase activity,YOR185C,1081728,G,0.1,0.21
CUP9,transcription initiation from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity,YPL177C,1081589,G,0.1,0.52
PPH21,protein biosynthesis*,protein phosphatase type 2A activity,YDL134C,1084585,G,0.1,0.15
DAP1,sterol metabolism,heme binding,YPL170W,1082716,G,0.1,0.74
,biological process unknown,kinase activity,YDR109C,1082067,G,0.1,0.38
URA10,'de novo' pyrimidine base biosynthesis,orotate phosphoribosyltransferase activity,YMR271C,1081751,G,0.1,1.32
,biological process unknown,molecular function unknown,YPR015C,1086002,G,0.1,1.11
,biological process unknown,molecular function unknown,YKL071W,1080860,G,0.1,1.01
FMS1,pantothenate biosynthesis*,amine oxidase activity,YMR020W,1082144,G,0.1,0.61
PEX29,peroxisome organization and biogenesis,molecular function unknown,YDR479C,1083611,G,0.1,0.36
KTR4,protein amino acid N-linked glycosylation,mannosyltransferase activity,YBR199W,1084968,G,0.1,0.21
,biological process unknown,molecular function unknown,YML002W,1082345,G,0.1,-0.02
ISN1,inosine salvage,IMP 5'-nucleotidase activity,YOR155C,1082809,G,0.1,-0.01
,biological process unknown,molecular function unknown,YFL065C,1081572,G,0.1,0.18
,biological process unknown,molecular function unknown,YHL049C,1083686,G,0.1,0.16
,biological process unknown,molecular function unknown,YPR203W,1085078,G,0.1,0.09
,biological process unknown,molecular function unknown,YLR462W,1085602,G,0.1,0.39
,biological process unknown,molecular function unknown,YEL075C,1082188,G,0.1,0.24
,biological process unknown,molecular function unknown,YER189W,1086664,G,0.1,0.2
,biological process unknown,molecular function unknown,YFL064C,1082196,G,0.1,0.06
,biological process unknown,molecular function unknown,YEL076C,1081786,G,0.1,0.07
,,,YNL043C,1081703,G,0.1,0.17
RTT102,biological process unknown,molecular function unknown,YGR275W,1085975,G,0.1,0.17
,"nuclear mRNA splicing, via spliceosome",RNA binding,YLR424W,1085297,G,0.1,-0.01
APC4,mitotic sister chromatid segregation*,protein binding*,YDR118W,1084382,G,0.1,0.18
SEC10,establishment of cell polarity (sensu Fungi)*,protein binding,YLR166C,1085447,G,0.1,0.14
VPS16,protein-vacuolar targeting*,molecular function unknown,YPL045W,1085617,G,0.1,-0.06
HMRA1,"regulation of transcription, mating-type specific",transcription corepressor activity,YCR097W,1085705,G,0.1,0.45
,biological process unknown,molecular function unknown,YMR185W,1081284,G,0.1,0.46
MAD1,mitotic spindle checkpoint*,molecular function unknown,YGL086W,1082095,G,0.1,-0.11
CSM3,mitotic sister chromatid cohesion*,molecular function unknown,YMR048W,1081900,G,0.1,0.19
APC5,mitotic sister chromatid segregation*,protein binding*,YOR249C,1083516,G,0.1,0.11
,biological process unknown,molecular function unknown,YNL224C,1085052,G,0.1,-0.01
GFD1,mRNA-nucleus export,molecular function unknown,YMR255W,1082503,G,0.1,0.21
SAS4,chromatin silencing at telomere,acetyltransferase activity*,YDR181C,1086808,G,0.1,0.04
,biological process unknown,molecular function unknown,YNL050C,1083815,G,0.1,0.03
SLK19,meiosis*,molecular function unknown,YOR195W,1083063,G,0.1,-0.28
ASG7,conjugation with cellular fusion,molecular function unknown,YJL170C,1086510,G,0.1,0.19
PLC1,pseudohyphal growth*,phosphoinositide phospholipase C activity,YPL268W,1080866,G,0.1,-0.09
,biological process unknown,molecular function unknown,YCR095C,1086712,G,0.1,0.38
,biological process unknown,molecular function unknown,YOL159C,1082321,G,0.1,0.65
MATALPHA2,regulation of transcription from RNA polymerase II promoter*,transcription corepressor activity,YCR039C,1086253,G,0.1,0.73
HMLALPHA2,regulation of transcription from RNA polymerase II promoter*,transcription corepressor activity,YCL067C,1084766,G,0.1,0.64
HMRA2,biological process unknown,molecular function unknown,YCR096C,1081015,G,0.1,0.73
NSE1,DNA repair*,molecular function unknown,YLR007W,1084611,G,0.1,1.1
,biological process unknown,molecular function unknown,YBL029C-A,1082457,G,0.1,0.5
REX3,RNA processing,3'-5' exonuclease activity,YLR107W,1083468,G,0.1,0.58
YSY6,protein secretion,molecular function unknown,YBR162W-A,1084915,G,0.1,0.76
,biological process unknown,molecular function unknown,YNL149C,1084946,G,0.1,0.48
,biological process unknown,molecular function unknown,YOR097C,1083461,G,0.1,0.03
SEC72,posttranslational protein-membrane targeting,protein transporter activity,YLR292C,1084785,G,0.1,0.14
SSS1,"SRP-dependent cotranslational protein-membrane targeting, translocation*",protein transporter activity,YDR086C,1083251,G,0.1,0.14
CSI1,adaptation to pheromone during conjugation with cellular fusion*,molecular function unknown,YMR025W,1083021,G,0.1,0.64
DPB3,chromatin silencing at telomere*,epsilon DNA polymerase activity,YBR278W,1086854,G,0.1,0.72
VPS71,protein-vacuolar targeting*,molecular function unknown,YML041C,1086602,G,0.1,0.4
,biological process unknown,molecular function unknown,YOR044W,1083303,G,0.1,0.77
LSM8,"nuclear mRNA splicing, via spliceosome*",RNA binding,YJR022W,1085809,G,0.1,0.4
TPT1,tRNA splicing,tRNA 2'-phosphotransferase activity,YOL102C,1081159,G,0.1,0.26
GPI15,GPI anchor biosynthesis,UDP-glycosyltransferase activity,YNL038W,1086783,G,0.1,0.47
ARL3,intracellular protein transport,GTPase activity,YPL051W,1080846,G,0.1,0.35
IES4,biological process unknown,molecular function unknown,YOR189W,1081103,G,0.1,0.3
RBL2,microtubule cytoskeleton organization and biogenesis*,tubulin binding*,YOR265W,1084454,G,0.1,0.6
HUB1,cellular morphogenesis during conjugation with cellular fusion*,protein tag,YNR032C-A,1083555,G,0.1,0.54
SMD3,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism*",YLR147C,1083319,G,0.1,0.54
FIN1,biological process unknown,protein binding,YDR130C,1084476,G,0.1,0.42
GNA1,UDP-N-acetylglucosamine biosynthesis,glucosamine 6-phosphate N-acetyltransferase activity,YFL017C,1084086,G,0.1,0.39
NSE3,DNA repair,DNA binding,YDR288W,1080890,G,0.1,0.68
VPS63,,,YLR261C,1085398,G,0.1,0.61
VPS29,"retrograde transport, endosome to Golgi",molecular function unknown,YHR012W,1082689,G,0.1,0.36
CDC10,cell wall organization and biogenesis*,GTPase activity*,YCR002C,1086099,G,0.1,0.34
RGP1,intracellular protein transport,guanyl-nucleotide exchange factor activity,YDR137W,1084466,G,0.1,0.3
PUP2,response to stress*,endopeptidase activity,YGR253C,1080900,G,0.1,0.48
PRE9,ubiquitin-dependent protein catabolism*,endopeptidase activity,YGR135W,1086487,G,0.1,0.86
,coenzyme A biosynthesis,dephospho-CoA kinase activity,YDR196C,1083196,G,0.1,1.09
UFE1,vesicle fusion*,t-SNARE activity,YOR075W,1081985,G,0.1,0.56
RPN8,ubiquitin-dependent protein catabolism,molecular function unknown,YOR261C,1083785,G,0.1,0.7
RDI1,actin filament organization*,signal transducer activity*,YDL135C,1084571,G,0.1,0.56
,biological process unknown,molecular function unknown,YIL001W,1086524,G,0.1,0.51
GTR1,phosphate transport,GTPase activity,YML121W,1085255,G,0.1,0.29
MFA1,signal transduction during conjugation with cellular fusion,mating pheromone activity,YDR461W,1084053,G,0.1,0.14
NRG2,invasive growth (sensu Saccharomyces),transcriptional repressor activity,YBR066C,1081313,G,0.1,0.34
GPA1,signal transduction during conjugation with cellular fusion,GTPase activity,YHR005C,1082268,G,0.1,0.27
YPT32,vesicle-mediated transport*,GTPase activity,YGL210W,1084802,G,0.1,0.06
HOS1,"regulation of transcription, DNA-dependent*",histone deacetylase activity,YPR068C,1083996,G,0.1,0.18
SNC1,endocytosis*,v-SNARE activity,YAL030W,1082695,G,0.1,0.42
,biological process unknown,molecular function unknown,YDR357C,1081470,G,0.1,0.74
ECM15,cell wall organization and biogenesis,molecular function unknown,YBL001C,1085723,G,0.1,0.81
VTI1,vesicle fusion*,v-SNARE activity,YMR197C,1085228,G,0.1,0.6
,biological process unknown,molecular function unknown,YPL071C,1082725,G,0.1,0.47
,biological process unknown,molecular function unknown,YOL159C-A,1085020,G,0.1,0.44
TFB5,DNA repair*,molecular function unknown*,YDR079C-A,1084683,G,0.1,0.97
,biological process unknown,molecular function unknown,YLL049W,1084678,G,0.1,0.83
,coenzyme A biosynthesis,pantetheine-phosphate adenylyltransferase activity,YGR277C,1084526,G,0.1,0.29
SPO73,sporulation (sensu Fungi)*,molecular function unknown,YER046W,1081483,G,0.1,0.45
ATG5,protein-vacuolar targeting*,molecular function unknown,YPL149W,1084353,G,0.1,0.69
MLC2,"cytokinesis, contractile ring contraction",myosin II binding,YPR188C,1084493,G,0.1,0.87
ERP6,secretory pathway,molecular function unknown,YGL002W,1084318,G,0.1,0.57
MATALPHA1,regulation of transcription from RNA polymerase II promoter*,transcription coactivator activity,YCR040W,1082827,G,0.1,0.54
HMLALPHA1,regulation of transcription from RNA polymerase II promoter*,transcription coactivator activity,YCL066W,1082292,G,0.1,0.45
,biological process unknown,molecular function unknown,YER134C,1082358,G,0.1,0.12
DIA2,invasive growth (sensu Saccharomyces)*,molecular function unknown,YOR080W,1085573,G,0.1,0.23
,biological process unknown,molecular function unknown,YDR319C,1082873,G,0.1,0.31
,biological process unknown,molecular function unknown,YGR111W,1084158,G,0.1,0.1
,biological process unknown,molecular function unknown,YAL037W,1084528,G,0.1,0.21
,biological process unknown,molecular function unknown,YGR206W,1085413,G,0.1,0.16
,biological process unknown,molecular function unknown,YGL242C,1084412,G,0.1,0.02
PET18,mitochondrion organization and biogenesis*,molecular function unknown,YCR020C,1080935,G,0.1,0.45
PSF3,DNA-dependent DNA replication,DNA binding,YOL146W,1086369,G,0.1,0.59
ELC1,RNA elongation from RNA polymerase II promoter*,transcriptional elongation regulator activity,YPL046C,1084322,G,0.1,0.53
LSM6,"nuclear mRNA splicing, via spliceosome*",RNA binding,YDR378C,1080647,G,0.1,0.66
PDR10,multidrug transport,"ATPase activity, coupled to transmembrane movement of substances",YOR328W,1086423,G,0.1,0.89
NPL4,ER-associated protein catabolism,molecular function unknown,YBR170C,1086723,G,0.1,0.2
HSH155,spliceosome assembly,mRNA binding,YMR288W,1081336,G,0.1,0.2
,biological process unknown,nuclear localization sequence binding,YHL010C,1083095,G,0.1,0.33
SWR1,chromatin remodeling,helicase activity,YDR334W,1083505,G,0.1,0.18
,,,YMR316C-B,1081002,G,0.1,0.05
ADE16,aerobic respiration*,IMP cyclohydrolase activity*,YLR028C,1081659,G,0.1,0.06
,biological process unknown,molecular function unknown,YMR265C,1082862,G,0.1,0.68
,biological process unknown,molecular function unknown,YMR027W,1081217,G,0.1,0.23
,biological process unknown,molecular function unknown,YOL153C,1080775,G,0.1,0.14
YRM1,positive regulation of transcription from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity,YOR172W,1083610,G,0.1,0.19
THI6,thiamin biosynthesis,hydroxyethylthiazole kinase activity*,YPL214C,1083959,G,0.1,0.31
THI22,thiamin biosynthesis,phosphomethylpyrimidine kinase activity,YPR121W,1083484,G,0.1,0.23
ROG3,biological process unknown,molecular function unknown,YFR022W,1080733,G,0.1,-0.2
THI4,mitochondrial genome maintenance*,molecular function unknown,YGR144W,1082851,G,0.1,0.9
,biological process unknown,molecular function unknown,YPR157W,1086308,G,0.1,0.21
SPI1,biological process unknown,molecular function unknown,YER150W,1084679,G,0.1,-0.14
,biological process unknown,molecular function unknown,YJL016W,1082359,G,0.1,-0.39
,biological process unknown,molecular function unknown,YIR035C,1086706,G,0.1,-0.13
TPO3,polyamine transport,spermine transporter activity,YPR156C,1086816,G,0.1,-0.29
ULP2,mitotic spindle checkpoint*,cysteine-type peptidase activity*,YIL031W,1085732,G,0.1,-0.14
,biological process unknown,molecular function unknown,YNL193W,1085650,G,0.1,-0.09
MTR10,protein-nucleus import*,nuclear localization sequence binding,YOR160W,1086665,G,0.1,-0.08
TOS3,glucose metabolism,protein kinase activity,YGL179C,1082489,G,0.1,0.41
,,,YPR077C,1080913,G,0.1,1.61
THI20,thiamin biosynthesis,phosphomethylpyrimidine kinase activity*,YOL055C,1081066,G,0.1,0.32
MSP1,protein-mitochondrial targeting,ATPase activity,YGR028W,1081855,G,0.1,0.15
NPT1,chromatin silencing at telomere*,nicotinate phosphoribosyltransferase activity,YOR209C,1086735,G,0.1,-0.13
,biological process unknown,molecular function unknown,YIL161W,1082761,G,0.1,0.42
HYM1,regulation of transcription*,molecular function unknown,YKL189W,1085942,G,0.1,0.13
PIC2,phosphate transport,inorganic phosphate transporter activity,YER053C,1085421,G,0.1,0.73
YGP1,response to stress*,molecular function unknown,YNL160W,1084970,G,0.1,0.97
IZH2,lipid metabolism*,metal ion binding,YOL002C,1082541,G,0.1,-0.07
CYC7,electron transport,electron carrier activity,YEL039C,1085397,G,0.1,0.32
RPN4,ubiquitin-dependent protein catabolism*,transcriptional activator activity,YDL020C,1080685,G,0.1,0.47
HSP30,response to stress,molecular function unknown,YCR021C,1083695,G,0.1,0.1
SSA3,response to stress*,ATPase activity,YBL075C,1081769,G,0.1,0.15
SSA4,response to stress*,unfolded protein binding,YER103W,1084435,G,0.1,0.64
BTN2,intracellular protein transport*,molecular function unknown,YGR142W,1082612,G,0.1,0.85
HSP82,response to stress*,"ATPase activity, coupled",YPL240C,1081205,G,0.1,0.65
HSC82,response to stress*,unfolded protein binding,YMR186W,1086351,G,0.1,0.55
STI1,protein folding,unfolded protein binding*,YOR027W,1084174,G,0.1,0.52
SIS1,protein folding*,unfolded protein binding*,YNL007C,1085122,G,0.1,0.52
LCB5,response to heat*,D-erythro-sphingosine kinase activity,YLR260W,1084764,G,0.1,0.21
SGT1,protein complex assembly*,chaperone binding,YOR057W,1082423,G,0.1,0.17
FES1,protein biosynthesis,adenyl-nucleotide exchange factor activity,YBR101C,1082744,G,0.1,0.33
CPR6,protein folding,unfolded protein binding*,YLR216C,1086406,G,0.1,0.43
GLO1,glutathione metabolism*,lactoylglutathione lyase activity,YML004C,1085673,G,0.1,0.27
,biological process unknown,molecular function unknown,YOL032W,1085352,G,0.1,0.84
,,,YLL059C,1086779,G,0.1,1.08
SGV1,protein amino acid phosphorylation*,cyclin-dependent protein kinase activity,YPR161C,1085454,G,0.1,-0.01
GDH3,glutamate biosynthesis,glutamate dehydrogenase activity,YAL062W,1086595,G,0.1,1.1
PRP8,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism",YHR165C,1085135,G,0.1,0.42
ISA1,iron ion transport,molecular function unknown,YLL027W,1085068,G,0.1,1.16
YRR1,positive regulation of transcription from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity,YOR162C,1081098,G,0.1,0.85
SPG1,biological process unknown,molecular function unknown,YGR236C,1083768,G,0.1,2.24
,biological process unknown,molecular function unknown,YBR270C,1083114,G,0.1,0.91
,biological process unknown,molecular function unknown,YPL272C,1083030,G,0.1,0.6
MSS18,Group I intron splicing,molecular function unknown,YPR134W,1083342,G,0.1,0.52
BNS1,meiosis,molecular function unknown,YGR230W,1083424,G,0.1,1.8
,biological process unknown,molecular function unknown,YMR041C,1081449,G,0.1,1.25
,,,YER121W,1083604,G,0.1,2.43
,biological process unknown,molecular function unknown,YKL133C,1083975,G,0.1,0.46
,biological process unknown,molecular function unknown,YOR215C,1086032,G,0.1,1.15
GPX1,response to oxidative stress,glutathione peroxidase activity,YKL026C,1081772,G,0.1,1.39
YAP1,response to oxidative stress*,transcription factor activity,YML007W,1085402,G,0.1,0.63
,,,YKL123W,1080934,G,0.1,0.67
ATH1,response to stress*,"alpha,alpha-trehalase activity",YPR026W,1086786,G,0.1,1.28
IDP3,fatty acid beta-oxidation*,isocitrate dehydrogenase (NADP+) activity,YNL009W,1085181,G,0.1,2.18
CLF1,"nuclear mRNA splicing, via spliceosome*",molecular function unknown,YLR117C,1086834,G,0.1,0.62
PXA2,fatty acid transport,"ATPase activity, coupled to transmembrane movement of substances",YKL188C,1085745,G,0.1,1.74
ECI1,fatty acid beta-oxidation,dodecenoyl-CoA delta-isomerase activity,YLR284C,1085148,G,0.1,2.74
PCL10,regulation of glycogen biosynthesis*,cyclin-dependent protein kinase regulator activity,YGL134W,1086158,G,0.1,1
MDH3,fatty acid beta-oxidation*,L-malate dehydrogenase activity,YDL078C,1081662,G,0.1,1.13
POT1,fatty acid beta-oxidation,acetyl-CoA C-acyltransferase activity,YIL160C,1082968,G,0.1,4.07
OM45,biological process unknown,molecular function unknown,YIL136W,1082389,G,0.1,1.91
NDE2,ethanol fermentation*,NADH dehydrogenase activity,YDL085W,1082045,G,0.1,3.07
GCY1,response to salt stress*,aldo-keto reductase activity,YOR120W,1081721,G,0.1,1.91
,biological process unknown,RNA binding,YGR250C,1084144,G,0.1,0.88
PFK26,"fructose 2,6-bisphosphate metabolism*",6-phosphofructo-2-kinase activity,YIL107C,1086372,G,0.1,0.68
,biological process unknown,transaldolase activity,YGR043C,1082595,G,0.1,3.29
PRM4,conjugation with cellular fusion,molecular function unknown,YPL156C,1084436,G,0.1,1.33
,biological process unknown,molecular function unknown,YIL024C,1080971,G,0.1,0.97
MSS1,protein biosynthesis*,GTP binding,YMR023C,1083125,G,0.1,0.53
OLI1,protein complex assembly*,structural molecule activity*,Q0130,1081841,G,0.1,1.52
ECM4,cell wall organization and biogenesis,molecular function unknown,YKR076W,1081064,G,0.1,0.72
SUE1,protein catabolism,molecular function unknown,YPR151C,1081013,G,0.1,1.29
YMR31,protein biosynthesis,structural constituent of ribosome,YFR049W,1081774,G,0.1,1.25
,biological process unknown,molecular function unknown,YOR285W,1082199,G,0.1,1.3
,biological process unknown,molecular function unknown,YBR269C,1080742,G,0.1,0.84
PRX1,regulation of cell redox homeostasis,thioredoxin peroxidase activity,YBL064C,1082395,G,0.1,0.92
PGM2,glucose 1-phosphate utilization*,phosphoglucomutase activity,YMR105C,1081915,G,0.1,0.53
GIP2,protein amino acid dephosphorylation,protein phosphatase regulator activity,YER054C,1082734,G,0.1,0.31
GRS2,glycyl-tRNA aminoacylation,glycine-tRNA ligase activity,YPR081C,1086629,G,0.1,0.23
PSO2,DNA repair*,damaged DNA binding*,YMR137C,1083835,G,0.1,0.58
PMC1,calcium ion homeostasis*,calcium-transporting ATPase activity,YGL006W,1082421,G,0.1,0.59
UIP4,biological process unknown,molecular function unknown,YPL186C,1085973,G,0.1,1.64
GPH1,glycogen catabolism,glycogen phosphorylase activity,YPR160W,1086125,G,0.1,0.81
RTN2,biological process unknown,molecular function unknown,YDL204W,1082119,G,0.1,0.42
GDB1,glycogen catabolism,4-alpha-glucanotransferase activity*,YPR184W,1083458,G,0.1,0.56
FAS1,fatty acid biosynthesis,[acyl-carrier protein] S-malonyltransferase activity*,YKL182W,1084234,G,0.1,0.65
,biological process unknown,molecular function unknown,YMR031C,1084242,G,0.1,0.52
LSP1,response to heat,protein kinase inhibitor activity,YPL004C,1081107,G,0.1,1.03
PIL1,response to heat,protein kinase inhibitor activity,YGR086C,1084077,G,0.1,0.47
FRT1,response to stress,molecular function unknown,YOR324C,1080644,G,0.1,0.85
RME1,meiosis*,specific transcriptional repressor activity,YGR044C,1086271,G,0.1,0.77
CCC1,iron ion homeostasis*,molecular function unknown,YLR220W,1082718,G,0.1,0.93
LEE1,biological process unknown,molecular function unknown,YPL054W,1082176,G,0.1,0.5
PSK2,protein amino acid phosphorylation*,protein serine/threonine kinase activity,YOL045W,1084987,G,0.1,-0.1
,biological process unknown,molecular function unknown,YPL184C,1083588,G,0.1,0.1
KSP1,protein amino acid phosphorylation,protein serine/threonine kinase activity,YHR082C,1086605,G,0.1,0.17
LSB6,actin filament organization*,1-phosphatidylinositol 4-kinase activity,YJL100W,1086235,G,0.1,0.22
SKO1,negative regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription factor activity,YNL167C,1082082,G,0.1,-0.02
SNF2,chromatin remodeling,general RNA polymerase II transcription factor activity,YOR290C,1082384,G,0.1,0.24
MDS3,negative regulation of sporulation,molecular function unknown,YGL197W,1082815,G,0.1,0.45
,biological process unknown,molecular function unknown,YOL138C,1083612,G,0.1,0.2
,,,YAR044W,1085067,G,0.1,0.07
SSK22,protein amino acid phosphorylation*,MAP kinase kinase kinase activity,YCR073C,1083399,G,0.1,0.75
,biological process unknown*,molecular function unknown*,YOR138C,1083867,G,0.1,0.41
UBX7,ubiquitin-dependent protein catabolism*,molecular function unknown,YBR273C,1084612,G,0.1,0.38
SOK1,cAMP-mediated signaling,molecular function unknown,YDR006C,1083932,G,0.1,0.56
NGR1,mitochondrion organization and biogenesis*,RNA binding*,YBR212W,1081741,G,0.1,0.72
LAG2,replicative cell aging,molecular function unknown,YOL025W,1084090,G,0.1,0.51
UBR1,protein monoubiquitination*,ubiquitin-protein ligase activity,YGR184C,1081245,G,0.1,0.54
KEM1,35S primary transcript processing*,recombinase activity*,YGL173C,1084479,G,0.1,0.64
UGX2,biological process unknown,molecular function unknown,YDL169C,1082654,G,0.1,1.56
,biological process unknown,helicase activity,YLR247C,1084632,G,0.1,0.74
,biological process unknown,molecular function unknown,YMR110C,1083146,G,0.1,0.9
ETR1,aerobic respiration*,enoyl-[acyl-carrier protein] reductase activity,YBR026C,1085485,G,0.1,1.64
,biological process unknown,molecular function unknown,YHR097C,1086803,G,0.1,1.46
YAK1,protein amino acid phosphorylation,protein kinase activity,YJL141C,1085013,G,0.1,0.84
GSY2,glycogen metabolism,glycogen (starch) synthase activity,YLR258W,1084227,G,0.1,1.29
TSL1,response to stress*,enzyme regulator activity*,YML100W,1082559,G,0.1,0.8
,biological process unknown,molecular function unknown,YMR181C,1084317,G,0.1,0.51
VPS35,protein retention in Golgi*,molecular function unknown,YJL154C,1085898,G,0.1,0.48
SPO71,spore wall assembly (sensu Fungi),molecular function unknown,YDR104C,1083723,G,0.1,0.56
ENT3,endocytosis*,protein binding,YJR125C,1085236,G,0.1,0.24
GLE1,poly(A)+ mRNA-nucleus export,molecular function unknown,YDL207W,1085503,G,0.1,0.48
,biological process unknown,molecular function unknown,YDR128W,1082909,G,0.1,0.23
GYP1,vesicle-mediated transport,Rab GTPase activator activity,YOR070C,1086226,G,0.1,0.31
,biological process unknown,molecular function unknown,YMR160W,1083082,G,0.1,0.3
RPN1,ubiquitin-dependent protein catabolism,endopeptidase activity*,YHR027C,1086090,G,0.1,0.42
